ID,PROM1,PROM2,disease
GSM359972,119.133,153.038,0
GSM359973,56.4382,14.2872,0
GSM359974,63.8326,110.189,0
GSM359975,58.3101,25.1293,0
GSM359976,86.3913,68.6876,0
GSM359977,12.7148,33.4373,0
GSM359978,19.7297,58.5834,0
GSM359979,164.863,79.7703,0
GSM359980,84.2786,89.9472,0
GSM359981,497.043,355.136,0
GSM359982,1748.64,650.419,0
GSM359983,1716.77,2418.85,0
GSM359984,118.39,143.7,1
GSM360039,199.245,1936.96,1
GSM360040,55.5689,3899.55,1
GSM360041,210.302,612.363,1
GSM360042,215.76,197.124,1
GSM360043,51.529,1855.55,1
GSM360044,504.04,2691.54,1
GSM360045,286.284,2109.49,1
GSM360046,649.539,1303.12,1
GSM360047,327.275,4371.44,1
GSM360048,598.071,657.84,1
GSM360049,1438.67,1183.62,1
