case id,prom1_unstranded,prom1_stranded_first,prom1_stranded_second,prom1_tpm_unstrande,prom1_fpkm_unstranded,prom1_fpkm_uq_unstranded,prom2_unstranded,prom2_stranded_first,prom2_stranded_second,prom2_tpm_unstrande,prom2_fpkm_unstranded,prom2_fpkm_uq_unstranded
9bf16a89-2fc7-4c08-93bc-3105eec5c3cc,278,153,125,1.9701,0.7614,0.9383,15167,7691,7478,132.1117,51.0549,62.9186
a2319490-b85d-4219-a1b0-fa1ec432d5c8,135,78,57,1.1163,0.3804,0.4523,689,319,370,7.0028,2.3863,2.8372
a2319490-b85d-4219-a1b0-fa1ec432d5c8,135,78,57,1.1163,0.3804,0.4523,1462,720,743,13.9069,5.1755,5.854
a2319490-b85d-4219-a1b0-fa1ec432d5c8,114,50,64,0.8823,0.3283,0.3714,689,319,370,7.0028,2.3863,2.8372
a2319490-b85d-4219-a1b0-fa1ec432d5c8,114,50,64,0.8823,0.3283,0.3714,1462,720,743,13.9069,5.1755,5.854
f9793a4b-c0e7-4475-bf80-69543b7ee2f6,662,320,343,5.4781,2.2483,2.5616,5967,3039,2931,60.6903,24.9083,28.379
42ebd30b-175e-4ece-a806-e55cb7e40e96,143,79,64,0.7281,0.2131,0.2136,13200,6608,6595,82.6072,24.175,24.2366
bc2591b0-65d7-48c3-a5cc-783f67b65869,8941,4488,4453,59.7207,18.5428,19.6797,13894,7049,6851,114.066,35.4165,37.5881
f007fa7a-7da9-4cb0-8aea-623af1a122c5,6349,3288,3062,39.3094,19.4758,25.1436,2972,1543,1429,22.6168,11.2054,14.4664
48e66676-dbed-48a4-9a7f-a6d247b15c17,618,298,320,3.9944,1.6127,1.8147,7940,3913,4028,63.0777,25.4676,28.6562
fef1696c-a8f4-4db6-8615-e486522baaaa,322,151,171,1.7505,0.7525,1.1288,14414,7280,7139,96.3129,41.3999,62.1076
7d03ddb6-f3fe-4b50-8bba-514aa65e7d0e,27,16,11,0.1332,0.0462,0.0505,539,269,270,3.2691,1.1335,1.24
8fe44099-b313-4bfd-a94a-27e72f2a818c,754,366,388,14.1832,5.6851,6.7176,267,149,118,6.1731,2.4744,2.9238
09820a33-80b1-42d0-8366-a0ddaf94b122,155,85,70,1.6171,0.7239,0.9616,702,350,352,9.0019,4.0297,5.3526
ef653772-e5d2-46ec-8610-f81d75d7353c,2080,1050,1032,11.424,3.8091,3.8413,8290,4199,4095,55.9628,18.6594,18.8173
97ad0360-3be4-401a-a94c-7f2800a1b519,426,217,209,3.2286,1.0849,1.1918,299,149,152,2.7853,0.9359,1.0281
1c0318d9-0472-4840-add4-46bb9f914a30,30,15,15,0.2839,0.0948,0.1142,101,56,45,1.1747,0.3921,0.4724
5abb6d80-fc39-49a4-8db5-3db24543feb6,213,91,122,0.9101,0.3414,0.4179,30254,15071,15188,158.877,59.6042,72.9654
5abb6d80-fc39-49a4-8db5-3db24543feb6,213,91,122,0.9101,0.3414,0.4179,7211,3655,3557,47.6657,16.5932,20.8375
5abb6d80-fc39-49a4-8db5-3db24543feb6,119,53,66,0.64,0.2228,0.2798,30254,15071,15188,158.877,59.6042,72.9654
5abb6d80-fc39-49a4-8db5-3db24543feb6,119,53,66,0.64,0.2228,0.2798,7211,3655,3557,47.6657,16.5932,20.8375
b0585c7a-7205-4dac-9d54-6da89674accb,122,57,65,0.9658,0.3996,0.445,1934,963,971,18.819,7.7864,8.6708
bdd792e7-d75f-4aa3-b38e-f0708e112075,121,54,67,0.6003,0.1904,0.2176,9118,4476,4646,55.6037,17.6325,20.1579
80f85c54-e12f-4afa-8fa5-5f3e083b6f95,415,205,210,2.7882,1.002,1.08,3121,1561,1560,25.7731,9.2622,9.9829
19427350-619b-4b9c-a3ba-37f667bb2843,591,307,284,2.9105,0.9973,1.0493,2851,1469,1384,17.2571,5.9133,6.2216
16829472-5666-4fba-9bf9-360ec1689aa0,1273,639,634,7.8741,3.3464,3.4989,2553,1309,1244,19.4094,8.2489,8.6247
61feee94-3ac9-42fe-aaa3-dc6a3efe563c,2566,1287,1279,15.85,5.1263,5.4048,13243,6630,6617,100.5424,32.5178,34.2849
a09f0626-002a-48fd-8b2d-c66b8285cf23,998,491,507,9.9717,4.1757,5.9502,4110,2031,2080,50.4742,21.1364,30.1186
4e6f88de-7624-4719-8234-4c9e5b2e2988,12,9,3,0.0886,0.029,0.0316,94,51,43,0.8528,0.2794,0.3041
